Match Num,Home,Away,Group,Winner
1,Brazil,Croatia,A,
2,Spain,Netherlands,B,
3,Mexico,Cameroon,A,
4,Chile,Australia,B,
5,Colombia,Greece,C,
6,Uruguay,Costa_Rica,D,
7,Ivory_Coast,Japan,C,
8,England,Italy,D,
9,Argentina,Bosnia_and_Herzegovina,F,
10,Switzerland,Ecuador,E,
11,France,Honduras,E,
12,Iran,Nigeria,F,
13,Germany,Portugal,G,
14,Belgium,Algeria,H,
15,Russia,South_Korea,H,
16,Ghana,United_States,G,
17,Australia,Netherlands,B,
18,Brazil,Mexico,A,
19,Cameroon,Croatia,A,
20,Spain,Chile,B,
21,Uruguay,England,D,
22,Colombia,Ivory_Coast,C,
23,Italy,Costa_Rica,D,
24,Japan,Greece,C,
25,Switzerland,France,E,
26,Argentina,Iran,F,
27,Nigeria,Bosnia_and_Herzegovina,F,
28,Honduras,Ecuador,E,
29,Germany,Ghana,G,
30,Belgium,Russia,H,
31,United_States,Portugal,G,
32,South_Korea,Algeria,H,
33,Cameroon,Brazil,A,
34,Croatia,Mexico,A,
35,Australia,Spain,B,
36,Netherlands,Chile,B,
37,Italy,Uruguay,D,
38,Costa_Rica,England,D,
39,Japan,Colombia,C,
40,Greece,Ivory_Coast,C,
41,Nigeria,Argentina,F,
42,Bosnia_and_Herzegovina,Iran,F,
43,Honduras,Switzerland,E,
44,Ecuador,France,E,
45,South_Korea,Belgium,H,
46,Algeria,Russia,H,
47,United_States,Germany,G,
48,Portugal,Ghana,G,
49,,,R16,
50,,,R16,
51,,,R16,
52,,,R16,
53,,,R16,
54,,,R16,
55,,,R16,
56,,,R16,
57,,,QF,
58,,,QF,
59,,,QF,
60,,,QF,
61,,,SF,
62,,,SF,
63,,,3P,
64,,,Final,
